Voice Code,audio,Voice Details,voice id,voice name,internal url
SBI-Female-1,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-1.wav"",""▶ play"")",Sarvam-Bulbulv3:Ishita,ishita,Ishita,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/ishita.wav
SBI-Female-2,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-2.wav"",""▶ play"")",Sarvam-Bulbulv3:Kavitha,kavitha,Kavitha,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/kavitha.wav
SBI-Female-3,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-3.wav"",""▶ play"")",Sarvam-Bulbulv3:Kavya,kavya,Kavya,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/kavya.wav
SBI-Female-4,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-4.wav"",""▶ play"")",Sarvam-Bulbulv3:Neha,neha,Neha,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/neha.wav
SBI-Female-5,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-5.wav"",""▶ play"")",Sarvam-Bulbulv3:Pooja,pooja,Pooja,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/pooja.wav
SBI-Female-6,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-6.wav"",""▶ play"")",Sarvam-Bulbulv3:Priya,priya,Priya,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/priya.wav
SBI-Female-7,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-7.wav"",""▶ play"")",Sarvam-Bulbulv3:Ritu,ritu,Ritu,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/ritu.wav
SBI-Female-8,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-8.wav"",""▶ play"")",Sarvam-Bulbulv3:Roopa,roopa,Roopa,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/roopa.wav
SBI-Female-9,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-9.wav"",""▶ play"")",Sarvam-Bulbulv3:Shreya,shreya,Shreya,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/shreya.wav
SBI-Female-10,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Female-10.wav"",""▶ play"")",Sarvam-Bulbulv3:Shruti,shruti,Shruti,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/shruti.wav
